company,contactRole,email,industry,city,state,country,originalWebsite,siteVerdict,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,Pain point 1,Pain point 2,Pain point 3,Essential point 1,Essential point 2,Essential point 3,Upsell point 1,Upsell point 2,painPointTags,estimatedValue,lowestEstimate,highestEstimate,dateAdded
Most Dependable Fountains,Director of Sales,sales@mostdependable.com,Outdoor drinking fountains and hydration stations,Arlington,TN,USA,https://www.mostdependable.com,"Model, mount, colour and options cross-multiply into a large configurable range, presented as a model list with options described in text.",cold-outreach,researched,"Subject: Nobody in a parks department knows the model number

Hi [First Name],

I went through mostdependable.com the way a parks superintendent would: a trailhead that needs a fountain, ADA compliant, with a bottle filler and a dog bowl because that's what people actually ask for, and it has to survive a freeze.

The product reputation is clear — these are fountains that stay in the ground for decades, and the site does convey that.

But there's a structural problem underneath it that isn't anyone's fault. The site is a list of models, and every model carries a set of options described in text. The buyer has to hold all of that in their head to work out what their configuration even is, let alone what it costs. Meanwhile the things they actually arrived caring about — ADA, bottle filler, pet bowl, freeze protection — are buried inside option tables rather than being the way in. And when they've finally worked it out, what they need for a municipal bid is a quote package, and what the site offers them is a contact form.

I built one screen to show what it looks like when the requirements come first and the configuration builds itself. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Requirements at the top — ADA, bottle filler, pet bowl, freeze protection — then mount and finish, with the fountain drawing itself as you choose. At the end it produces a quote package with the configuration written out the way a procurement officer needs it, which is the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions, whether or not this goes anywhere: does the bid package need a specific format your buyers keep asking for? And is freeze protection a filter or an add-on in the way you sell it?

[Sender Name]","A parks department arrives knowing the site conditions, not the model number — and every one of your models is a set of options they have to assemble in their head.",Municipal procurement is the buyer — the bid package is worth more to them than the visual configurator.,site-furniture;configurator;field-run-002,80,"Models list options as text, so the buyer has to assemble the configuration in their head before they can price it.","ADA, pet fountain, bottle filler and freeze protection are the real decisions and they are buried in option tables.",Municipal buyers need a quote package for a bid and the site gives them a contact form.,"Configurator: model, mount, finish and options chosen on screen with the fountain updating. | $8,800","Requirement-first entry — ADA, bottle filler, pet bowl, freeze protection — filtering the models. | $5,400","Quote package generated for municipal bidding, carrying the configuration. | $4,200","Bid-document pack with specifications formatted for procurement. | $4,600","Parts and repair flow for the fountains already in the ground. | $3,200",outdated-design;not-mobile-friendly;manual-processes,20000,"$13,000","$29,000",06082026
Victor Stanley,Director of Business Development,sales@victorstanley.com,Site furniture and waste receptacles,Dunkirk,MD,USA,https://www.victorstanley.com,"Every product is a matrix of material, mount, colour and accessory, presented as product pages with option tables — and the landscape architect specifying it needs a schedule, not a page.",cold-outreach,researched,"Subject: They're specifying twenty pieces, not one bench

Hi [First Name],

I went through victorstanley.com the way a landscape architect would mid-project: a waterfront park, benches in three lengths, receptacles at every node, bike racks near the entrance, all in one finish, all going into one schedule that a municipality will bid.

The build quality argument comes across, and the fact you make things that survive twenty years in public space is genuinely the point of your product.

But there's a structural problem underneath it that isn't anyone's fault. Nobody specifies one bench. They specify a schedule — twenty pieces across a site, coordinated in material and colour — and the website is built to show one product at a time. Every configuration lives in an option table, so the architect writes the choices into a spreadsheet by hand, then rebuilds the same list next week for the next park. The tool they actually need doesn't exist anywhere in the category, which is exactly why it's worth building.

I built one screen to show what that schedule looks like when the site holds it. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Configure a piece on the left — material, mount, colour, accessories — and it drops into the schedule on the right. The schedule stays put as you add to it, and it exports with specs and CAD attached. That is the bit that can't happen today, and it's the thing landscape architects currently do by hand in a spreadsheet.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: does the schedule need quantities and locations, or just pieces? And would your reps want visibility of a schedule before it becomes an enquiry?

[Sender Name]","A landscape architect does not specify one bench, they specify a schedule of twenty pieces across a park — and your site is built to show one product at a time.",The schedule builder is the pitch. Landscape architects live in schedules and every site-furniture manufacturer ignores that.,site-furniture;configurator;field-run-002,87,Products are shown one at a time to a buyer who is assembling a schedule of twenty.,"Material, mount, colour and accessory combinations live in option tables rather than being selectable.","No way to keep a project together across a session, so the schedule gets rebuilt in a spreadsheet.","Project schedule builder: add configured pieces, keep them together, export the schedule. | $11,200","Configuration on the product itself — material, mount, colour, accessories — rather than in a table. | $6,600","Spec and CAD per configured piece, exported with the schedule. | $4,800","Shareable project link for the architect presenting to a municipality. | $3,800","Reorder-from-project for the parks departments already running your furniture. | $4,200",manual-processes;disconnected-tools,30000,"$20,000","$43,000",06082026
Keystone Ridge Designs,Director of Sales,info@keystoneridgedesigns.com,Steel site furniture,Butler,PA,USA,https://www.keystoneridgedesigns.com,"Collections are shown as families with finishes listed underneath. Nothing lets a buyer see a whole collection in one colour, which is how a streetscape is actually chosen.",cold-outreach,researched,"Subject: One finish across ten pieces, not ten finishes on one

Hi [First Name],

I went through keystoneridgedesigns.com the way a city engineer would with a downtown streetscape to furnish: benches, receptacles, planters and bike racks, all matching, all in one powder-coat colour, all needing to arrive before a ribbon-cutting that's already in a press release.

The steel work is good and the collections are clearly designed as families rather than assembled after the fact.

But there's a structural problem underneath it that isn't anyone's fault. The website shows one product in many finishes. The buyer needs the opposite: one finish across many products. They're furnishing a street, not buying a bench, and coordination is the entire job — so they have to open six product pages and imagine them in the same colour. Then the question that actually decides the purchase, lead time, appears nowhere on the site at all, and a municipal schedule with a ribbon-cutting date on it cannot be built on silence.

I built one screen to show what a collection looks like when it's shown as a collection, in one finish, with a lead time on it. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Pick a finish once, at the top, and the whole collection redraws in it — bench, receptacle, planter, rack, side by side. That's the view a streetscape actually gets chosen from, and it's the bit that can't happen today.

There's a lead-time band on each collection. I've made those up, and they're the first thing you'd want to correct — but leaving them off is why buyers ring you before they've decided anything.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions either way: would you publish a lead-time range at all? And is powder-coat colour the coordinating decision, or is it the material?

[Sender Name]","A streetscape is chosen as a family in one colour, and your site shows one product in many colours — the opposite view from the one your buyer needs.",Lead time is the unaddressed anxiety in municipal work. Even a range beats silence.,site-furniture;visual-selection;field-run-002,78,The site shows one product in many finishes; the buyer needs one finish across many products.,"Collections are described rather than shown together, so coordination is imagined.",Lead time — the thing that decides municipal jobs — appears nowhere.,"Collection view: every piece in the family, in the chosen finish, on one screen. | $7,800","Finish selector that applies across the whole collection at once. | $4,600","Lead-time indication per collection, so a bid schedule can be trusted. | $3,400","Streetscape layout preview for presenting to a council. | $4,800","Bid-pack export with specs for every piece in the schedule. | $3,900",outdated-design;manual-processes,18500,"$12,000","$27,000",06082026
Wausau Tile,VP of Sales,sales@wausautile.com,"Precast concrete, terrazzo and site furnishings",Wausau,WI,USA,https://www.wausautile.com,"Three genuinely different businesses — precast, terrazzo tile and site furnishings — sharing one site, so each audience has to scroll past the other two.",cold-outreach,researched,"Subject: Three businesses, one homepage

Hi [First Name],

I went through wausautile.com three times, once as each of your customers. As a landscape architect after site furnishings. As a designer picking terrazzo tile for a transit concourse. As a contractor chasing custom precast for a plaza.

All three times the company clearly does the work. All three times the site was built for the other two.

That's the structural problem, and it isn't anyone's fault: three genuinely different businesses are sharing one navigation. The site furnishings buyer thinks in collections and finishes. The terrazzo buyer thinks in colour and aggregate and wants to see it at scale. The precast buyer has a drawing and a schedule and needs to know whether you'll take the job. A single homepage can be optimised for one of those, not three, so each visitor spends their opening minutes scrolling past products they didn't come for — and the custom precast work, which is where the margin is, is the hardest thing on the entire site to enquire about.

I built one screen to show what a proper split entry looks like. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Three doors at the top, and behind each one the filters that buyer actually uses — collections and finishes for site furnishings, colour and aggregate at scale for terrazzo, and a real project intake for custom precast rather than a contact form. That last one is the bit that can't happen today and it's the one I'd argue matters most.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: is custom precast a fourth door or part of the precast one? And do the three businesses share enough customers that splitting them would cost you cross-selling?

[Sender Name]","Three different businesses share one website, so every visitor spends their first two minutes scrolling past the two they did not come for.",The custom precast route is where the margin is — the enquiry form is currently the same one used for a bench.,precast;navigation;field-run-002,81,"Precast, terrazzo and site furnishings share a navigation despite having nothing in common for the buyer.",Terrazzo colour and aggregate selection — a visual decision — is presented as a product list.,"Custom precast capability, the highest-value work, is the hardest thing on the site to enquire about.","Separate entry per business with filters written in each buyer's language. | $9,400","Terrazzo colour and aggregate selector with the finish shown at scale. | $6,800","Custom precast enquiry that captures the project properly rather than a contact form. | $4,200","Project gallery filtered by product line rather than by client. | $3,600","Sample ordering per colour across terrazzo and precast. | $3,400",outdated-design;manual-processes;poor-seo,26000,"$17,000","$37,000",06082026
Maglin Site Furniture,Director of Marketing,info@maglin.com,Site furniture design and manufacturing,London,ON,Canada,https://www.maglin.com,"Design-led and photographed well. Customisation is the differentiator and it is described in prose, so the buyer cannot see what ""custom"" would look like for them.",cold-outreach,researched,"Subject: ""Custom"" is a word until someone can see it

Hi [First Name],

I went through maglin.com as a landscape architect would with a campus quad: seating that has to take a specific curve, in a material the university has standardised on, with a look the design review board will approve on the first pass.

The design credibility is real. The photography is better than the category standard and the furniture looks like it was drawn rather than assembled.

But there's a structural problem underneath it that isn't anyone's fault. Customisation is what you actually sell, and on a website customisation is only ever a paragraph. The buyer reads that you'll adapt a piece and has no way to see what adapting it would look like for their project — different length, different material, different arm configuration. So the enquiry arrives as ""can you do something custom?"", the first two calls are spent working out what the project is, and half of those conversations were never real projects at all.

I built one screen to show what your customisation looks like when the buyer can move it themselves before they contact anyone. Inside your existing site, your brand untouched. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Length, material, colour and arm configuration down the side, the piece redrawing as they change. At the end it produces a brief rather than a contact form — what they configured, for what project, at what quantity — so your first call starts where the third one currently does. That's the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions, whether or not this goes anywhere: how much customisation would you be comfortable showing before a conversation? And is quantity the question that separates a real project from a browse?

[Sender Name]",Customisation is what you sell and it is described in prose — a buyer cannot see what custom would look like for their project without starting a conversation.,Their enquiries are vague because the site invites vagueness. Fixing the intake is worth more than the visuals.,site-furniture;configurator;field-run-002,83,Custom capability described in words rather than shown as options a buyer can move.,"Standard range and custom work blur together, so buyers do not know which conversation they are starting.","Enquiries arrive vague, and the first two calls are spent establishing what the project even is.","Customisation preview: length, material, colour and arm configuration moved on screen. | $10,400","Clear split between standard range and custom programme, with different enquiry paths. | $5,200","Project brief capture that arrives specific enough to quote from. | $4,400","Presentation export for landscape architects pitching a council. | $4,200","Saved projects across a firm rather than a single user. | $3,800",manual-processes;disconnected-tools,27000,"$18,000","$38,000",06082026
Berridge Manufacturing,Director of Sales,info@berridge.com,Architectural metal roofing and wall panels,San Antonio,TX,USA,https://www.berridge.com,"Panel profiles and colour range are both extensive and both live in separate places, so the combination — this profile in that colour — has to be imagined.",cold-outreach,researched,"Subject: The combination exists nowhere on your site

Hi [First Name],

I went through berridge.com the way an architect on a civic building would: a standing seam roof, a colour the client has already fallen in love with from a chip, and a profile whose rib shadow will define how the building reads from the street.

The colour range and the profile range are both genuinely deep, and the manufacturing story behind them is a real advantage.

But there's a structural problem underneath it that isn't anyone's fault. Profiles live in one catalogue and colours live in another, so the only view that actually matters — this profile in that colour, at roof scale, with the rib shadow doing what it does — exists nowhere. The architect picks from a chip the size of a business card and finds out what it looks like when the building is up. And the details that decide whether the combination is even available — gauge, substrate, warranty — surface late, sometimes after the bid is in.

I built one screen to show what that combination looks like when the site can show it. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Profile down the left, colours along the top, and the roof in the middle at a scale where the rib shadow actually reads. Availability comes with the combination — gauge, substrate, warranty — so nothing gets specified that you can't supply. That's the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks, and the colours on screen are approximations rather than your real chips. I'd rather show the idea honestly than fake a demo.

Two questions I'd like your answer to either way: is warranty variation by colour something you'd want stated this plainly? And does an architect pick the profile first, or the colour?

[Sender Name]","Profiles are in one place and colours are in another, so the only view that matters — this profile in that colour, on a roof — exists nowhere on the site.","Rib shadow at roof scale is a detail only someone who has looked properly would raise — use it, it proves the research.",metal-roofing;visual-selection;field-run-002,83,Profile and colour are separate catalogues; the specified thing is always the combination.,"No way to see a panel at roof scale, where sheen and rib shadow change the decision entirely.","Gauge, substrate and warranty differ by colour and that only surfaces late, often after a bid.","Profile × colour viewer at roof scale, with rib shadow shown honestly. | $9,800","Availability logic: gauge, substrate and warranty attached to each combination. | $6,200","Sample chips and spec requested from the combination on screen. | $3,600","Contractor locator tied to the selected panel and territory. | $4,000","Project gallery filtered by profile and colour rather than by building type. | $3,400",outdated-design;manual-processes;poor-seo,24000,"$16,000","$35,000",06082026
ATAS International,Director of Marketing,info@atas.com,"Metal roofing, wall panels and solar",Allentown,PA,USA,https://www.atas.com,"A very large product range across roofing, walls, soffit and solar, organised by product family, with no route from a building application to a suitable panel.",cold-outreach,researched,"Subject: Nobody arrives knowing the family name

Hi [First Name],

I went through atas.com the way an architect on a mixed-use building would: standing seam roof, a coordinating wall panel that reads as one material from the street, soffit that matches, and a client asking whether solar can go on the roof without ruining it.

The range is exceptional. Very few manufacturers can answer all four of those from one catalogue, and you can.

But there's a structural problem underneath it that isn't anyone's fault. The site is organised by product family, and nobody arrives knowing your family names. They arrive with a part of a building and a climate. Worse, the thing that makes your range valuable — that the roof, the wall, the soffit and the solar can coordinate — is exactly what a family-by-family catalogue cannot show. Each is presented alone, so the architect specifies your roof and someone else's wall, and the advantage you actually have goes unused.

I built one screen to show what it looks like when the building comes first and the coordination is visible. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

The building's at the top — roof, wall, soffit, solar — and choosing a panel for one shows what coordinates with it on the others. That's the bit that can't happen today, and it's the argument for specifying your whole envelope rather than one part of it.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: does coordination across roof and wall come up in real specifications, or is that a story we'd be inventing? And is climate a filter your team gets asked about, or is substrate the one that matters?

[Sender Name]","Your range spans roofing, walls, soffit and solar, and every visitor has to already know which family solves their problem before the site can help them.",The whole-building coordination view is the interesting one — nobody in metal panels shows roof and wall together.,metal-roofing;catalogue-depth;field-run-002,84,"Product families are the only way in for a visitor who arrives with an application, not a family name.","Wall, roof, soffit and solar overlap in ways the site never connects for a whole-building decision.",Technical data and installation detail are downloads rather than part of the product.,"Application-first navigation: what part of the building, what climate, what substrate. | $9,600","Whole-building view showing which panels coordinate across roof, wall and soffit. | $6,400","Technical data and details on the product page, not behind a download list. | $4,200","Solar integration explained against the panels it works with, rather than as a separate line. | $5,400","Contractor and rep routing per territory. | $3,400",outdated-design;poor-seo;manual-processes,28000,"$18,000","$40,000",06082026
Bobrick Washroom Equipment,Director of Business Development,info@bobrick.com,Commercial washroom accessories and partitions,North Hollywood,CA,USA,https://www.bobrick.com,"An enormous accessory catalogue organised by product type, when the specifier is furnishing a room to a code — and the room, not the product, is the unit of work.",cold-outreach,researched,"Subject: The unit of work is a room, not a dispenser

Hi [First Name],

I went through bobrick.com the way an architect finishing a drawing set would: a school washroom, eight fixtures, ADA compliant, and an accessory schedule that has to be complete before it goes out on Friday.

The catalogue depth is not in question — you make more of this category than anyone, and the technical documentation shows it.

But there's a structural problem underneath it that isn't anyone's fault. The site is organised by product type, and the specifier's unit of work is a room. They are not buying a soap dispenser; they are furnishing a washroom to a code, and every item they choose is constrained by ADA and by what the room needs. So they open a dozen product categories, copy model numbers into a spreadsheet by hand, and rebuild that same schedule on the next project and the one after. The code requirements that drive the whole exercise aren't a filter anywhere. It's the same work, done manually, thousands of times a year, on top of a catalogue that already contains every answer.

I built one screen to show what it looks like when the room is the unit and the schedule comes out the end. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Washroom type and fixture count at the top; a schedule builds underneath as you choose, with the ADA-required items flagged rather than left to memory. It exports with model numbers, specs and CAD for the drawing set — which is the bit that can't happen today and the reason architects keep a spreadsheet instead.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: is fixture count enough to drive the schedule, or does occupancy have to come into it? And would your specification team want to own the compliance logic behind something like this?

[Sender Name]","A specifier is furnishing a washroom to a code, not buying a soap dispenser — and your catalogue is organised around the dispenser.","Big company, long sales cycle, but the room-schedule idea is strong enough to get a meeting on its own.",washroom;catalogue-depth;field-run-002,85,"Thousands of accessories organised by type, for a buyer whose unit of work is a room.",ADA and code requirements decide most of the selection and are not a filter.,A washroom schedule gets rebuilt by hand in a spreadsheet on every single project.,"Room-first builder: washroom type and fixture count in, a compliant accessory schedule out. | $12,400","ADA and code filtering applied across the catalogue, not described per product. | $6,800","Schedule export with specs and CAD for the drawing set. | $5,200","Saved projects across a firm, so a standard washroom becomes a template. | $4,600","Substitution helper for when a specified item is unavailable. | $4,000",manual-processes;disconnected-tools,36000,"$24,000","$52,000",06082026
Dri-Design,Director of Sales,info@dri-design.com,Metal wall panel systems,Holland,MI,USA,https://www.dri-design.com,"A genuinely differentiated system explained in text and photographs. Nothing lets an architect see their own panel size, material and pattern before they commit a drawing to it.",cold-outreach,researched,"Subject: Your differentiator is a paragraph

Hi [First Name],

I went through dri-design.com the way a facade architect would: a rainscreen for a university building, a module that reads well at three storeys, and an attachment that a review board's consultant will accept without a special condition.

The system itself is genuinely differentiated — no sealants, no exposed fasteners, panels that come off individually. That is a real engineering argument.

But there's a structural problem underneath it that isn't anyone's fault. That argument is currently a paragraph and a set of finished-building photographs. An architect can read what the system does; they cannot see it doing it at their module, in their material, with their perforation. And the elevation is where facade decisions actually get made — module size and shadow line at scale, not a photograph of someone else's building. So the design gets developed in a model with a generic panel in it, and by the time your rep is in the room the geometry is already fixed around somebody else's system.

I built one screen to show what your panels look like when an architect can vary them on an elevation. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Module size, material, finish and perforation down the side; an elevation in the middle that redraws as you change them, at a scale where shadow line actually reads. The attachment detail sits underneath as something a specifier can pull straight into a drawing — which is the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: is module size the first decision, or material? And would you want a randomised-pattern option in here, or does that create drawings you cannot price?

[Sender Name]","Your system is differentiated by how the panels attach, and the site explains that in prose — an architect cannot see their own module, material and pattern before they commit a drawing to it.",Design-led facade buyer. The elevation view is what gets shared internally — that is the viral bit.,facade;configurator;field-run-002,86,"Panel module, material and finish are the design decision, and none of them can be varied on screen.",The attachment system — the actual differentiator — is a paragraph rather than a demonstration.,"Project photos show finished buildings, not the choices that produced them.","Panel configurator: module size, material, finish and perforation, shown on a facade elevation. | $11,800","Attachment system shown as a detail a specifier can drop into a drawing. | $5,600","Spec text and CAD generated from the configuration. | $4,400","Facade pattern tool for randomised or gradient panel layouts. | $6,800","Project archive filtered by panel and material rather than by building type. | $3,400",manual-processes;disconnected-tools,31000,"$21,000","$44,000",06082026
Hendrick Architectural Products,Director of Sales,info@hendrickarch.com,Perforated metal architectural products,Carbondale,PA,USA,https://www.hendrickarch.com,"Perforation patterns, materials and finishes shown as a gallery. No way to filter by open area or free area, which is the number mechanical screens and sunshades live or die by.",cold-outreach,researched,"Subject: Free area decides the job

Hi [First Name],

I went through hendrickarch.com the way a mechanical engineer would on a parking structure: a screen wall that hides rooftop equipment, needs a defined free area for airflow, and has to look deliberate rather than like a fence.

The fabrication range is clearly serious, and the image-perforation work in particular is something most of your competitors cannot do at all.

But there's a structural problem underneath it that isn't anyone's fault. Screening jobs are specified on free area — a percentage the engineer arrives already holding — and your patterns are presented as a gallery with no way to filter by it. So the one number that decides the job is the one number the site never asks about. Then framing and attachment, which turn a perforated sheet into something a contractor can install, are described somewhere else again, so nobody sees the assembly they're actually buying.

I built one screen to show what it looks like when free area is the first filter and the assembly comes with the pattern. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Free area, hole size, spacing, material and gauge down the left; the patterns that qualify to the right, each shown at scale rather than as a line drawing. Choosing one brings the framing and attachment with it, so what's on screen is the assembly rather than a sheet. That's the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions, whether or not this goes anywhere: is free area the term your engineers use, or do they say open area and mean this? And should the image-perforation work sit inside this tool or stay its own thing?

[Sender Name]","Mechanical screens and sunshades are specified on free area, and your patterns cannot be filtered by it — so the number that decides the job is the number the site never asks about.",Image perforation is their most impressive capability and the hardest thing to explain in words. It demos beautifully.,facade;spec-data;field-run-002,83,Free area and open area decide mechanical screening jobs and cannot be filtered on.,Patterns shown as a gallery rather than something you can narrow by hole size and spacing.,Framing and attachment options are described separately from the perforated sheet they hold.,"Pattern finder on open area, hole size, spacing, material and gauge. | $8,600","Application entry for mechanical screening, sunshades and column covers with the relevant constraints. | $5,400","Framing and attachment shown with the pattern, as one assembly. | $4,200","Image perforation preview — the pattern derived from an image, which is your most-shared capability. | $6,600","Project archive indexed by pattern. | $3,200",outdated-design;poor-seo;manual-processes,23000,"$15,000","$33,000",06082026
Cambridge Architectural,Director of Business Development,info@cambridgearchitectural.com,Architectural wire mesh systems,Cambridge,MD,USA,https://www.cambridgearchitectural.com,"Sells systems rather than mesh, which is right — but the site presents systems as case studies, so a specifier cannot get from an application to an attachment method and a mesh.",cold-outreach,researched,"Subject: The system is the product, and it's shown as a case study

Hi [First Name],

I went through cambridgearchitectural.com the way a facade consultant would: mesh infill on a parking structure, a span that needs to be defensible under wind load, and an attachment detail the structural engineer will sign.

You're already doing the thing most of your category gets wrong — selling a system rather than a roll of mesh. The engineering around attachment is where the value actually sits and you clearly know that.

But there's a structural problem underneath it that isn't anyone's fault. Those systems are presented as case studies, and a case study is a story about someone else's building. A specifier can't get from their own application — facade, railing infill, sunshade, security screen — to an attachment method and a mesh that suits it. Span, wind load and mesh weight interact in ways the site never lets them reason about, so the reasoning happens on a call with your engineers, hundreds of times a year, before anyone knows whether it's a real project.

I built one screen to show what it looks like when the application comes first and the attachment comes with it. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Application at the top — facade, railing infill, sunshade, screen — and underneath, the attachment methods that suit it with span guidance attached, then only the meshes that system can actually carry. That last constraint is the bit that can't happen today, and it's what stops a specification arriving that your engineers have to talk someone out of.

It's a static design rather than a working build, so nothing clicks, and the span figures are placeholders rather than yours. I'd rather show the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: is publishing span guidance something you'd do, or does it have to stay an engineered conversation? And is application the right first filter, or is it building type?

[Sender Name]","You sell systems rather than mesh, and the systems are presented as case studies — so a specifier cannot get from their application to an attachment method without a phone call.","They already understand they sell systems — the pitch is making that structure legible, not changing the strategy.",facade;configurator;field-run-002,85,Systems are shown as finished case studies rather than as selectable applications.,Attachment hardware is the real engineering value and appears only in project photography.,"Span, wind load and mesh weight interact and nothing on the site helps a specifier reason about it.","Application-first system selector: facade, railing infill, sunshade, security screen. | $10,200","Attachment method shown as a detail per application, with span guidance. | $6,400","Mesh selection filtered to what the chosen system can actually carry. | $5,400","Wind-load guidance tool for a given span and mesh weight. | $7,200","Case studies re-indexed by system and application rather than by client. | $3,200",manual-processes;disconnected-tools,28000,"$19,000","$40,000",06082026
Overly Door Company,Director of Sales,info@overly.com,"Acoustic, blast and specialty doors",Greensburg,PA,USA,https://www.overly.com,"Acoustic doors, blast doors and hangar doors are three unrelated buyers sharing one site, and each has to work out which half of the company they are dealing with.",cold-outreach,researched,"Subject: Three businesses behind one front door

Hi [First Name],

I went through overly.com three times. Once as a theatre consultant needing an STC 55 door. Once as a federal project manager needing a blast door with test data that will survive review. Once as an airport engineer sizing a hangar door.

Three genuinely different buyers. One website, one vocabulary, one navigation — and each of them has to work out which part of the company they're dealing with before the site becomes useful.

That's the structural problem, and it isn't anyone's fault. The acoustic buyer arrives holding a number, an STC, and has no way to ask which doors meet it — they browse product families and hope. The blast buyer wants test reports and certifications, which live in a general downloads area rather than attached to the doors they certify. And the hangar buyer wants something so different from the other two that sharing a homepage with them helps nobody.

I built one screen to show what a split entry looks like, with the acoustic side filtering on the rating a specifier already has. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Three doors at the top — acoustic, blast, hangar — and behind the acoustic one, an STC number goes in and the doors that hold it come back, each with its test report on the card rather than in a downloads folder. That's the bit that can't happen today, and it's the moment a spec writer decides who to name.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd like your answer to either way: are those the right three doors, or is there a fourth line I've missed? And is there a reason test reports aren't public that I should know about?

[Sender Name]","Acoustic doors, blast doors and hangar doors are three unrelated buyers on one website, and each of them has to work out which part of the company they are talking to.","Different angle from Krieger: this one is about three businesses sharing a front door, not just rating-first search.",specialty-doors;navigation;field-run-002,82,Three unrelated product lines share one navigation and one vocabulary.,STC ratings — the number acoustic buyers arrive holding — cannot be filtered on.,Test data and certifications are the sales argument and they sit in a general downloads area.,"Split entry per product line, each with its own filters and language. | $8,800","Rating-first selector for the acoustic line: STC in, doors out. | $7,200","Test reports and certifications attached to the doors they belong to. | $4,400","Submittal pack per door for the contractor stage. | $5,000","Frame and hardware compatibility shown with the door. | $4,200",outdated-design;manual-processes;poor-seo,25000,"$17,000","$36,000",06082026
