company,email,industry,city,state,country,originalWebsite,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,estimatedValue,lowestEstimate,highestEstimate,dateAdded
DeSanctis Homes,info@desanctishomes.com,Custom home building,Naples,FL,USA,https://desanctishomes.com,cold-outreach,researched,"Subject: one thing about your gallery

Hi [First Name],

I looked at DeSanctis Homes as somebody about to hand a builder several million dollars would. They look at photos, they look for a long time, and they are trying to find themselves in your work.

The homes are genuinely good and the reputation is clearly earned.

But there's a structural problem underneath it that isn't anyone's fault. Your portfolio is the entire product and it's shown as a grid of thumbnails with no way to sort by budget, style or scope. The buyer with a specific project cannot find the one job that looks like theirs, and that project is the only thing that would have convinced them. So they leave without finding it, and go and look at the builder whose site let them filter.

Here's what I'd like to do about it. I'll build DeSanctis Homes a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

A portfolio you can filter and an enquiry that asks about the lot, the budget and the timing — so your first call starts where the third one currently does.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your answer to: do people arrive with a lot already, or before? And would showing the process month by month help you or scare people?

[Sender Name]","the enquiry form asks for a name and a message, so every lead arrives unqualified","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;custom-home-building;FL,75,22000,"$12,000","$35,000",06082026
Dental Cosmetic Spa,info@dentalcosmeticspa.com,Cosmetic dentistry,Coral Gables,FL,USA,https://dentalcosmeticspa.com,cold-outreach,researched,"Subject: your veneer cases, and your website

Hi [First Name],

I went looking for a cosmetic dentist in Coral Gables the way a veneer patient does — evening, on a phone, wanting to see cases and find out roughly what it costs before speaking to anybody.

The clinical side is clearly strong, and this is a category where patients can tell.

But there's something structural working against you, and it isn't anyone's fault. Cosmetic patients and check-up patients want completely different things, and one homepage is nearly always built for the check-up patient — so the $15k case has to hunt for what it came for. One case a month lost that way is more than a website costs, several times over.

Here's my offer, and it's a simple one. Let me build Dental Cosmetic Spa a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Want me to send one over?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is. Two minutes and you have seen it.

Cases first, filterable by treatment, with a price range stated plainly and a booking that works at 9pm.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd like your answer to either way: does putting a price range on the site help you or bring you the wrong calls? And is it veneers or implants that pays best for you?

[Sender Name]","a $15k veneer case is decided from before-and-afters and a price range, and neither is easy to reach","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dentistry;FL,75,12000,"$6,000","$22,000",06082026
Dental Studio 101,info@dentalstudio101.com,Cosmetic dentistry,Scottsdale,AZ,USA,https://dentalstudio101.com,cold-outreach,researched,"Subject: what a smile-makeover patient sees

Hi [First Name],

I spent a while on your site as a patient with a $15k case in mind. They research for months and they research on a phone, at night, alone.

The clinical side is clearly strong, and this is a category where patients can tell.

There's a problem underneath it that isn't anybody's fault. The decision happens at night on a phone, and booking usually means ringing a front desk between nine and five, so the moment somebody finally feels ready has nowhere to go. They don't call in the morning. They keep scrolling, and someone else gets the case.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Dental Studio 101, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

A homepage built for the cosmetic patient: before-and-afters at the top, the range in plain numbers, and a request form that takes fifteen seconds.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd like your answer to either way: does putting a price range on the site help you or bring you the wrong calls? And is it veneers or implants that pays best for you?

[Sender Name]","a $15k veneer case is decided from before-and-afters and a price range, and neither is easy to reach","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dentistry;AZ,75,12000,"$6,000","$22,000",06082026
DermFx,,Med spa,Newport Beach,CA,USA,,cold-outreach,researched,"Subject: the gap between your reviews and your site

Hi [First Name],

I spent twenty minutes on your site the way a first-time client would: scrolling on a phone, comparing you against two other Newport Beach spas, ready to book if someone made it easy.

The reviews are doing a lot of work for you, and the treatment menu is clearly built by people who know the category.

There's a problem underneath it that isn't anybody's fault. Your reviews are your best salesperson and they live on Google, not on your homepage, where the person deciding between you and the spa down the road never sees them. Every one of those is revenue that left without leaving a trace.

Here's my offer, and it's a simple one. Let me build DermFx a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Want me to send one over?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

Booking is the homepage — pick the treatment, pick a time, done — with the reviews sitting right beside it where they close the sale.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;CA,75,10000,"$5,000","$18,000",06082026
DermPartners Boca Raton,info@dermpartnersbocaraton.com,Cosmetic dermatology,Boca Raton,FL,USA,https://dermpartnersbocaraton.com,cold-outreach,researched,"Subject: Boca Raton · two patients, one site

Hi [First Name],

I spent a while on your site as the cash-pay patient rather than the insurance one. They behave completely differently.

The medical credibility is obvious, and in this category that is exactly what the cosmetic patient is buying.

But there's a structural problem underneath it that isn't anyone's fault. You are running two businesses — medical and elective — through one website, and the elective one is nearly always the one that gets buried, even though it is the one with the margin. The elective work — the part that pays — is losing to spas that are worse at it and better at being found.

I'd like to build you one. A homepage concept for DermPartners Boca Raton, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: DermPartners Boca Raton — here it is

Here it is — DermPartners Boca Raton, as promised.

Two doors on the homepage, and behind the cosmetic one, everything a cash-pay patient needs before they'll book.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: is splitting cosmetic from medical the right division, or would that cost you crossover? And which treatment brings the most new cash-pay patients?

[Sender Name]","the cash-pay cosmetic side is buried under the medical side, and it is the side with the margin","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dermatology;FL,75,11000,"$6,000","$20,000",06082026
Derma Health Skin & Laser,,Med spa,Scottsdale,AZ,USA,,cold-outreach,researched,"Subject: Scottsdale · your regulars vs your website

Hi [First Name],

I looked at Derma Health Skin & Laser as somebody who has decided they want tox and just needs to pick where. Phone, evening, ten minutes of attention, maximum.

The reviews are doing a lot of work for you, and the treatment menu is clearly built by people who know the category.

But something structural is working against you here, and it isn't anyone's fault. Everyone arriving is already sold — they want a time, not a description — and most spa sites are built to describe treatments rather than to sell a slot on Thursday. Every one of those is revenue that left without leaving a trace.

I'd like to build you one. A homepage concept for Derma Health Skin & Laser, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: Derma Health Skin & Laser — here it is

Here it is — Derma Health Skin & Laser, as promised.

Booking is the homepage — pick the treatment, pick a time, done — with the reviews sitting right beside it where they close the sale.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your view on: are prices on the site a help or a headache for you? And which treatment brings you the most new clients?

[Sender Name]",the reviews doing the selling live on Google rather than on the homepage where the decision is made,"No website found in research. Look up the site and address, or call.",field-run-003;med-spa;AZ,75,10000,"$5,000","$18,000",06082026
Desco Fine Homes,info@descohomes.com,Custom home building,Dallas,TX,USA,https://descohomes.com,cold-outreach,researched,"Subject: one thing about your gallery

Hi [First Name],

I looked at Desco Fine Homes as somebody about to hand a builder several million dollars would. They look at photos, they look for a long time, and they are trying to find themselves in your work.

Nobody builds at this level by accident — the craft comes across.

But something structural is working against you, and it isn't anybody's fault. What people are actually frightened of is the process — eighteen months, their money, decisions they've never made before — and almost no builder's site addresses that anywhere, so the fear does its work in silence. So they leave without finding it, and go and look at the builder whose site let them filter.

I'd like to build you one. A homepage concept for Desco Fine Homes, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: Desco Fine Homes — here it is

Here it is. Two minutes and you have seen it.

The portfolio filterable by budget band, style and scope, so the couple with a specific project finds their project in about nine seconds.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your answer to: do people arrive with a lot already, or before? And would showing the process month by month help you or scare people?

[Sender Name]","the enquiry form asks for a name and a message, so every lead arrives unqualified","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;custom-home-building;TX,75,22000,"$12,000","$35,000",06082026
Desert Star Construction,info@desertstarconstruction.com,Custom home building,Scottsdale,AZ,USA,https://desertstarconstruction.com,cold-outreach,researched,"Subject: what your enquiry form doesn't ask

Hi [First Name],

I spent a while in your portfolio the way a homeowner does: hunting for the project that matches their lot, their budget and their taste, in that order.

The work itself is the strongest thing you have, and the photography does show it.

But something structural is working against you, and it isn't anybody's fault. What people are actually frightened of is the process — eighteen months, their money, decisions they've never made before — and almost no builder's site addresses that anywhere, so the fear does its work in silence. So they leave without finding it, and go and look at the builder whose site let them filter.

Here's my offer, and it's a simple one. Let me build Desert Star Construction a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

Projects sortable the way people actually choose, plus the process laid out month by month, because that's the thing they're really nervous about.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on, whether or not this goes anywhere: is budget band something you'd ever show publicly? And what's the one question you wish every enquiry answered before you called them?

[Sender Name]","the portfolio is the entire product and there is no way to sort it by budget, style or scope","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;custom-home-building;AZ,75,22000,"$12,000","$35,000",06082026
Devenir Aesthetics,,Med spa,Austin,TX,USA,,cold-outreach,researched,"Subject: the gap between your reviews and your site

Hi [First Name],

I spent twenty minutes on your site the way a first-time client would: scrolling on a phone, comparing you against two other Austin spas, ready to book if someone made it easy.

The client loyalty in this category is everything and yours reads real.

There's a problem underneath it that isn't anybody's fault. Your reviews are your best salesperson and they live on Google, not on your homepage, where the person deciding between you and the spa down the road never sees them. The client doesn't wait until morning to call. She books wherever the button was.

Here's my offer, and it's a simple one. Let me build Devenir Aesthetics a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Want me to send one over?

[Sender Name]
Bothmade","Subject: Devenir Aesthetics — here it is

Here it is.

Treatments priced and bookable in two taps, reviews on the same screen, and the memberships made obvious rather than hidden three pages in.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;TX,75,10000,"$5,000","$18,000",06082026
Dilworth Dermatology & Laser,,Med spa,Charlotte,NC,USA,,cold-outreach,researched,"Subject: Charlotte · your regulars vs your website

Hi [First Name],

I looked at Dilworth Dermatology & Laser as somebody who has decided they want tox and just needs to pick where. Phone, evening, ten minutes of attention, maximum.

The reviews are doing a lot of work for you, and the treatment menu is clearly built by people who know the category.

But something structural is working against you here, and it isn't anyone's fault. Everyone arriving is already sold — they want a time, not a description — and most spa sites are built to describe treatments rather than to sell a slot on Thursday. That's a booking a night that goes somewhere else, and nobody ever knows it happened.

Here's what I'd like to do about it. I'll build Dilworth Dermatology & Laser a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Want me to send one over?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is — Dilworth Dermatology & Laser, as promised.

Everything a phone-first client needs in one screen: what it costs, what it looks like, and a slot on Thursday, without a phone call.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your view on: are prices on the site a help or a headache for you? And which treatment brings you the most new clients?

[Sender Name]",the reviews doing the selling live on Google rather than on the homepage where the decision is made,"No website found in research. Look up the site and address, or call.",field-run-003;med-spa;NC,75,10000,"$5,000","$18,000",06082026
Divorce and Family Solutions,,Family law,Bellevue,WA,USA,,cold-outreach,researched,"Subject: Bellevue · your intake problem

Hi [First Name],

I looked at Divorce and Family Solutions the way a person at the worst point of their year would. Frightened, private, and trying to work out what this is going to cost.

The experience is clear and this is a category where that genuinely matters.

But there's a structural problem underneath it that isn't anyone's fault. The site talks about the firm, and the visitor arrived with a situation they're ashamed of and no idea what the first step is. Retainers, timelines and what actually happens first are almost never on the page. That's a retainer lost to the firm that said the quiet part out loud.

I'd like to build you one. A homepage concept for Divorce and Family Solutions, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Want me to build you one?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

The first screen answers the three things they're too embarrassed to ring and ask, and the enquiry is private and specific.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: would you publish a retainer range? And how many of your consults start as a form rather than a call?

[Sender Name]","nobody wants to ring a firm to ask what it costs, so the people who most need you close the tab","No website found in research. Look up the site and address, or call.",field-run-003;family-law;WA,75,8000,"$4,000","$14,000",06082026
Dolphin Pools Construction,info@dolphinpools.us,Pool building,Scottsdale,AZ,USA,https://dolphinpools.us,cold-outreach,researched,"Subject: what a pool buyer can't find

Hi [First Name],

I looked at Dolphin Pools Construction as somebody about to spend eighty thousand dollars on a backyard would: photos first, price second, everything else a distant third.

The work looks excellent, and the reviews in this category are hard-won.

But something structural is working against you here, and it isn't anybody's fault. Everyone arrives with the same two questions — what does something like mine cost, and how long does it take — and almost no pool site answers either, so both become a phone call, and most people don't make it. So they keep scrolling, and eventually ring whoever showed them a pool like theirs.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Dolphin Pools Construction, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: Dolphin Pools Construction — here it is

Here it is. Two minutes and you have seen it.

Builds filterable by size, style and budget band, with a rough range said out loud and a proper enquiry rather than a contact box.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions either way: would you ever publish a starting price? And do people come to you with a design in mind, or a budget?

[Sender Name]","the gallery cannot be sorted by size or budget, so nobody finds a build that looks like their own yard","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;pool-building;AZ,75,10000,"$5,000","$18,000",06082026
Douglas Family Dentistry,info@douglasfamilydentistry.com,Cosmetic dentistry,Scottsdale,AZ,USA,https://douglasfamilydentistry.com,cold-outreach,researched,"Subject: one thing worth flagging

Hi [First Name],

I looked at Douglas Family Dentistry the way a patient who has been putting this off for three years looks at it — half-decided, on a phone, easily scared off.

You are obviously good at the dentistry. That is not the problem here.

But there's something structural working against you, and it isn't anyone's fault. Cosmetic patients and check-up patients want completely different things, and one homepage is nearly always built for the check-up patient — so the $15k case has to hunt for what it came for. They don't call in the morning. They keep scrolling, and someone else gets the case.

Here's what I'd like to do about it. I'll build Douglas Family Dentistry a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is. Two minutes and you have seen it.

Smile-makeover cases up front, the reviews next to them, financing said out loud, and booking that doesn't need your front desk to be awake.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd genuinely like your view on: would you separate the cosmetic patient from the general one like this? And how many cases a month start as a form rather than a call?

[Sender Name]",the cosmetic patient and the check-up patient want opposite things from one homepage,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dentistry;AZ,75,12000,"$6,000","$22,000",06082026
Dr. Amy Alderman Plastic Surgery,info@dramyalderman.com,Plastic surgery,Atlanta,GA,USA,https://dramyalderman.com,cold-outreach,researched,"Subject: your gallery, on a phone

Hi [First Name],

I looked at Dr. Amy Alderman Plastic Surgery the way a woman who has been thinking about this for two years looks at it. Phone, evening, already knows what she wants, wants to know if you're the one to do it.

You are obviously good at this. The work and the reputation both hold up.

But there's a problem underneath it that isn't anyone's fault. Nobody chooses a surgeon from a paragraph. They choose from the gallery, and the gallery is nearly always buried behind a menu, unfilterable, and painful to swipe through on the device it's being viewed on. So the request that would have come in at 11pm doesn't, and by morning she's booked a consult with whoever made it easy.

I'd like to build you one. A homepage concept for Dr. Amy Alderman Plastic Surgery, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Want me to send one over?

[Sender Name]
Bothmade","Subject: Dr. Amy Alderman Plastic Surgery — here it is

Here it is — Dr. Amy Alderman Plastic Surgery, as promised.

The gallery is the homepage, filtered by procedure and swipeable properly. Booking a consult takes one tap from any result rather than a phone call in office hours.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your answer to: is it the gallery or the reviews that closes a consult for you? And does putting a price bracket on the site help you or waste your time?

[Sender Name]","the consult decision happens at 11pm on a phone, and booking means a phone number and office hours","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;plastic-surgery;GA,75,16000,"$8,000","$28,000",06082026
Dr. J. J. Wendel Plastic Surgery,info@drjjwendel.com,Plastic surgery,Nashville,TN,USA,https://drjjwendel.com,cold-outreach,researched,"Subject: Nashville · one thing about your consults

Hi [First Name],

I spent a while on your site as a patient would. Not at a desk — on a phone, at night, comparing you against two other Nashville practices with fourteen tabs open.

You are obviously good at this. The work and the reputation both hold up.

But there's a structural problem underneath it that isn't anyone's fault. Your before-and-afters are the product — they are the single thing that converts — and on a phone they're usually three taps deep, in a viewer that fights you, with no way to filter to the one procedure she actually came for. So the request that would have come in at 11pm doesn't, and by morning she's booked a consult with whoever made it easy.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Dr. J. J. Wendel Plastic Surgery, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Want me to send one over?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

A phone-first layout: results at the top filterable by procedure, the reviews next to them where they do the most work, and a consult request that takes fifteen seconds at midnight.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on either way: which procedure do most of your consult requests come in for? And would you ever let someone book a consult without speaking to your coordinator first?

[Sender Name]",the gallery is what converts a consult and on a phone it is three taps deep and unfilterable,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;plastic-surgery;TN,75,16000,"$8,000","$28,000",06082026
Dr. Mark Plastic Surgery,info@drmarkplasticsurgery.com,Plastic surgery,Scottsdale,AZ,USA,https://drmarkplasticsurgery.com,cold-outreach,researched,"Subject: the 11pm version of your site

Hi [First Name],

I went looking for a plastic surgeon in Scottsdale the way a patient actually does — at eleven at night, on a phone, having already read every review twice.

The results speak for themselves — that part isn't in question, and neither is the credentialing.

But something structural is working against you, and it isn't anyone's fault. The decision gets made at night, on a phone, and the two things that make it — the results and the price bracket — are the two hardest things to reach on most practice sites. That decision is live for about four minutes. If booking means a phone number and office hours, it's gone.

Here's my offer, and it's a simple one. Let me build Dr. Mark Plastic Surgery a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: Dr. Mark Plastic Surgery — here it is

Here it is.

Results first, filterable by procedure, sized for a phone — because that's the device and that's the decision. Consult booking sits on the same screen rather than behind a phone number.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on either way: which procedure do most of your consult requests come in for? And would you ever let someone book a consult without speaking to your coordinator first?

[Sender Name]",the gallery is what converts a consult and on a phone it is three taps deep and unfilterable,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;plastic-surgery;AZ,75,16000,"$8,000","$28,000",06082026
Dvida Spa,,Med spa,Chicago,IL,USA,,cold-outreach,researched,"Subject: the gap between your reviews and your site

Hi [First Name],

I spent twenty minutes on your site the way a first-time client would: scrolling on a phone, comparing you against two other Chicago spas, ready to book if someone made it easy.

Your reputation locally is obvious, and that is the hardest part of this business to build.

But there's a structural problem underneath it that isn't anyone's fault. A website can list treatments; it can't take a booking at nine at night, and nine at night is when the decision gets made. Most spa sites hand that moment to a phone number and office hours. That's a booking a night that goes somewhere else, and nobody ever knows it happened.

Here's my offer, and it's a simple one. Let me build Dvida Spa a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: Dvida Spa — here it is

Here it is. Two minutes and you have seen it.

Treatments priced and bookable in two taps, reviews on the same screen, and the memberships made obvious rather than hidden three pages in.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;IL,75,10000,"$5,000","$18,000",06082026
East Nashville Aesthetic and Implant Dentistry,info@eastnashvilledentistry.com,Cosmetic dentistry,Nashville,TN,USA,https://eastnashvilledentistry.com,cold-outreach,researched,"Subject: one thing worth flagging

Hi [First Name],

I looked at East Nashville Aesthetic and Implant Dentistry the way a patient who has been putting this off for three years looks at it — half-decided, on a phone, easily scared off.

The case work speaks for itself, and the reviews back it up.

But there's a structural problem underneath it that isn't anyone's fault. A veneer case is a fifteen-thousand-dollar decision made from before-and-after photos and a price range — and on most practice sites the photos are buried in a subpage and the price is nowhere at all, which reads as expensive rather than as discreet. That's the biggest case of the month deciding not to ring.

Here's what I'd like to do about it. I'll build East Nashville Aesthetic and Implant Dentistry a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

A homepage built for the cosmetic patient: before-and-afters at the top, the range in plain numbers, and a request form that takes fifteen seconds.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd genuinely like your view on: would you separate the cosmetic patient from the general one like this? And how many cases a month start as a form rather than a call?

[Sender Name]",the cosmetic patient and the check-up patient want opposite things from one homepage,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dentistry;TN,75,12000,"$6,000","$22,000",06082026
ElaMar Nashville,,Med spa,Nashville,TN,USA,,cold-outreach,researched,"Subject: booking you at 9pm

Hi [First Name],

I went looking for a med spa in Nashville the way a new client does — on a phone, in the evening, three tabs open, wanting to book Botox for Thursday.

The client loyalty in this category is everything and yours reads real.

But something structural is working against you here, and it isn't anyone's fault. Everyone arriving is already sold — they want a time, not a description — and most spa sites are built to describe treatments rather than to sell a slot on Thursday. That's a booking a night that goes somewhere else, and nobody ever knows it happened.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for ElaMar Nashville, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Want me to send one over?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Everything a phone-first client needs in one screen: what it costs, what it looks like, and a slot on Thursday, without a phone call.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;TN,75,10000,"$5,000","$18,000",06082026
Enamel Dentistry South Lamar,,Cosmetic dentistry,Austin,TX,USA,,cold-outreach,researched,"Subject: what a smile-makeover patient sees

Hi [First Name],

I spent a while on your site as a patient with a $15k case in mind. They research for months and they research on a phone, at night, alone.

The case work speaks for itself, and the reviews back it up.

But there's a structural problem underneath it that isn't anyone's fault. A veneer case is a fifteen-thousand-dollar decision made from before-and-after photos and a price range — and on most practice sites the photos are buried in a subpage and the price is nowhere at all, which reads as expensive rather than as discreet. One case a month lost that way is more than a website costs, several times over.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Enamel Dentistry South Lamar, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Want me to send one over?

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

A homepage built for the cosmetic patient: before-and-afters at the top, the range in plain numbers, and a request form that takes fifteen seconds.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd like your answer to either way: does putting a price range on the site help you or bring you the wrong calls? And is it veneers or implants that pays best for you?

[Sender Name]","a $15k veneer case is decided from before-and-afters and a price range, and neither is easy to reach","No website found in research. Look up the site and address, or call.",field-run-003;cosmetic-dentistry;TX,75,12000,"$6,000","$22,000",06082026
Envision Family Law,info@envisionfamilylaw.com,Family law,Bellevue,WA,USA,https://envisionfamilylaw.com,cold-outreach,researched,"Subject: Bellevue · your intake problem

Hi [First Name],

I looked at Envision Family Law the way a person at the worst point of their year would. Frightened, private, and trying to work out what this is going to cost.

The experience is clear and this is a category where that genuinely matters.

But there's a structural problem underneath it that isn't anyone's fault. The site talks about the firm, and the visitor arrived with a situation they're ashamed of and no idea what the first step is. Retainers, timelines and what actually happens first are almost never on the page. That's a retainer lost to the firm that said the quiet part out loud.

Here's what I'd like to do about it. I'll build Envision Family Law a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: Envision Family Law — here it is

Here it is.

The first screen answers the three things they're too embarrassed to ring and ask, and the enquiry is private and specific.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: would you publish a retainer range? And how many of your consults start as a form rather than a call?

[Sender Name]","nobody wants to ring a firm to ask what it costs, so the people who most need you close the tab","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;family-law;WA,75,8000,"$4,000","$14,000",06082026
